NSE,MCAP (in Rs. cr),Last Available Sales (in Rs. cr),Last Available Net Profit (in Rs. cr),Last Available EPS (in Rs.),URL
ABCOTS,49.4,115,4,15.71,https://www.screener.in/company/ABCOTS/
ABINFRA,17.4,64.32,0.86,0.68,https://www.screener.in/company/ABINFRA/
AMJUMBO,22.6,2.69,0.03,0.03,https://www.screener.in/company/AMJUMBO/
AISL,52.8,143,5,5.64,https://www.screener.in/company/AISL/
ASLIND,30.0,8.20,1.51,1.45,https://www.screener.in/company/ASLIND/
AVG,134.0,432,6,5.10,https://www.screener.in/company/AVG/
AILIMITED,10.7,13.24,0.50,1.66,https://www.screener.in/company/AILIMITED/
ACCORD,9.03,39.06,1.09,3.14,https://www.screener.in/company/ACCORD/
AGNI,50.0,34.44,0.11,0.15,https://www.screener.in/company/AGNI/
AMEYA,29.9,24.65,2.73,136.50,https://www.screener.in/company/AMEYA/
AMIABLE,15.7,13.76,0.28,13.90,https://www.screener.in/company/AMIABLE/
ANNAPURNA,221.0,11.83,0.55,55.00,https://www.screener.in/company/ANNAPURNA/
ATALREAL,113.0,40.43,2.16,1.46,https://www.screener.in/company/ATALREAL/
AURDIS,102.0,101,9,10.95,https://www.screener.in/company/AURDIS/
BEWLTD,181.0,59.41,2.35,12.39,https://www.screener.in/company/BEWLTD/
BETA,606.0,125,14,14.82,https://www.screener.in/company/BETA/
BMETRICS,265.0,61.45,1.24,2.00,https://www.screener.in/company/BMETRICS/
BRIGHT,18.6,7.19,-7.37,-3.61,https://www.screener.in/company/BRIGHT/
CMMIPL,9.56,55.98,0.51,0.33,https://www.screener.in/company/CMMIPL/
CADSYS,29.8,14.88,0.33,0.44,https://www.screener.in/company/CADSYS/
CONTI,27.5,95.36,0.37,0.37,https://www.screener.in/company/CONTI/
COOLCAPS,610.0,31.12,4.62,5.44,https://www.screener.in/company/COOLCAPS/
CMRSL,58.6,22.63,0.58,6.44,https://www.screener.in/company/CMRSL/
DKEGL,43.6,44.75,1.99,7.22,https://www.screener.in/company/DKEGL/
DUGLOBAL,213.0,4.56,0.26,0.20,https://www.screener.in/company/DUGLOBAL/
DESTINY,21.9,34.70,1.30,0.84,https://www.screener.in/company/DESTINY/
DRL,6.04,2.56,0.11,0.16,https://www.screener.in/company/DRL/
DYNAMIC,27.1,71.51,2.16,1.60,https://www.screener.in/company/DYNAMIC/
EMKAYTOOLS,290.0,71,35,33.04,https://www.screener.in/company/EMKAYTOOLS/
KRISHIVAL,383.0,28.13,0.67,0.46,https://www.screener.in/company/KRISHIVAL/
EUROBOND,270.0,216,13,5.38,https://www.screener.in/company/EUROBOND/
FELIX,72.9,12.38,0.83,1.63,https://www.screener.in/company/FELIX/
FOCE,347.0,148.98,3.85,7.87,https://www.screener.in/company/FOCE/
FROG,314.0,120,7,1322.00,https://www.screener.in/company/FROG/
GIRIRAJ,75.8,63.57,2.67,8.23,https://www.screener.in/company/GIRIRAJ/
GICL,87.4,108,1,0.72,https://www.screener.in/company/GICL/
GSTL,87.1,18.88,0.75,1.50,https://www.screener.in/company/GSTL/
GOLDSTAR,219.0,42.91,0.71,0.04,https://www.screener.in/company/GOLDSTAR/
INNOVANA,590.0,30,11,11.10,https://www.screener.in/company/INNOVANA/
INNOVATIVE,4.77,52,-59,-32.76,https://www.screener.in/company/INNOVATIVE/
IPSL,56.2,119,2,3.07,https://www.screener.in/company/IPSL/
ISHAN,24.2,22.21,0.15,1.12,https://www.screener.in/company/ISHAN/
JFLLIFE,44.0,32.77,0.54,8.74,https://www.screener.in/company/JFLLIFE/
JAINAM,181.0,200,28,26.54,https://www.screener.in/company/JAINAM/
JALAN,14.5,5.92,-14.16,-9.74,https://www.screener.in/company/JALAN/
KORE,288.0,121,0,13.81,https://www.screener.in/company/KORE/
JSLL,416.0,146,11,11.15,https://www.screener.in/company/JSLL/
KHFM,44.1,96.42,-19.21,-19.17,https://www.screener.in/company/KHFM/
KNAGRI,337.0,1,872,47,18.88,https://www.screener.in/company/KNAGRI/
KANDARP,18.8,10.41,0.11,1.58,https://www.screener.in/company/KANDARP/
KCK,12.3,39.12,0.19,0.48,https://www.screener.in/company/KCK/
KOTYARK,351.0,156,9,10.44,https://www.screener.in/company/KOTYARK/
KRISHNADEF,184.0,49.52,2.46,2.93,https://www.screener.in/company/KRISHNADEF/
LATTEYS,182.0,26.81,0.51,0.44,https://www.screener.in/company/LATTEYS/
LEMERITE,142.0,525,21,12.33,https://www.screener.in/company/LEMERITE/
LEXUS,132.0,138.91,13.39,6.98,https://www.screener.in/company/LEXUS/
LLOYDS,117.0,18.13,-3.03,-1.52,https://www.screener.in/company/LLOYDS/
MKPL,885.0,311,10,24.91,https://www.screener.in/company/MKPL/
MPTODAY,22.5,20.04,3.01,6.59,https://www.screener.in/company/MPTODAY/
MAHICKRA,81.6,102,3,4.12,https://www.screener.in/company/MAHICKRA/
MAKS,22.2,20.90,0.35,0.71,https://www.screener.in/company/MAKS/
MANAV,4.79,5.05,-6.59,-9.64,https://www.screener.in/company/MANAV/
MWL,279.0,302,3,833.33,https://www.screener.in/company/MWL/
MDL,69.2,21.19,0.24,0.14,https://www.screener.in/company/MDL/
MEGAFLEX,33.4,29.49,1.29,7.35,https://www.screener.in/company/MEGAFLEX/
MILTON,50.3,59.66,3.25,1.91,https://www.screener.in/company/MILTON/
MHHL,82.9,133,6,3.53,https://www.screener.in/company/MHHL/
NPST,218.0,19.16,1.49,2.31,https://www.screener.in/company/NPST/
NIDAN,69.5,20.38,2.30,2.32,https://www.screener.in/company/NIDAN/
PROPEQUITY,176.0,23.91,9.31,8.88,https://www.screener.in/company/PROPEQUITY/
PARTYCRUS,84.0,15.55,1.33,2.38,https://www.screener.in/company/PARTYCRUS/
PASHUPATI,164.0,661,11,7.28,https://www.screener.in/company/PASHUPATI/
PAVNAIND,262.0,171,5,4.34,https://www.screener.in/company/PAVNAIND/
PENTAGOLD,62.2,153.12,0.12,0.09,https://www.screener.in/company/PENTAGOLD/
